39,39,39,0,0,0,0,32,39,0,0,0,0,0,0,0,0,21,42,0,0,42,0,0,
39,39,0,0,0,0,0,0,0,39,0,56,0,55,54,0,0,0,0,0,0,0,0,0,
0,28,0,0,37,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,19,0,59,0,0,
63,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,26,42,42,42,42,42,
60,52,52,60,0,0,0,39,0,0,0,0,0,0,0,31,0,33,35,0,0,0,0,0,
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,35,0,33,0,33,0,
60,0,0,60,0,0,0,0,0,0,0,0,0,0,31,31,0,16,16,0,16,16,33,21,
60,52,52,60,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,21,21,
21,0,0,0,0,0,0,0,42,0,0,0,0,31,0,0,0,0,42,0,0,0,33,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,
0,108,109,0,0,0,0,0,0,26,0,0,31,31,31,31,0,31,0,0,0,0,33,0,
0,116,117,0,0,0,0,0,0,0,0,0,0,31,31,31,0,0,59,31,0,0,16,0
