0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,33,42,42,35,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26,26,26,26,26,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,26,0,30,30,30,30,30,
0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,33,0,30,26,26,26,26,
0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,35,30,33,0,33,0,
0,0,0,0,0,35,30,30,33,42,0,42,42,42,42,42,42,42,35,30,33,0,0,0,
0,0,0,0,0,35,30,30,30,30,0,30,30,30,30,30,30,30,30,30,33,0,0,0,
0,0,0,0,0,35,30,30,30,33,0,26,26,26,26,26,26,26,26,26,0,0,42,0,
0,0,0,0,0,0,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
